CODIGO ;Rubro 1°;Rubro 2°
1.021;Acrilicos;
1.663;Base de mesa;
593;Embalaje;
1.610;Espumas;
1.412;Estructura de hierro;
1.859;Estructura de hierro;
1.448;Estructura de hierro;
2.070;Estructura de hierro;
2.042;Estructura de hierro;
1.233;Estructura de hierro;
1.197;Estructura de hierro;
2.091;Estructura de hierro;
1.029;Herrajes;
1.289;Herrajes;
1.647;Herrajes;
635;Herrajes;
1.033;Herrajes;
2.062;Herrajes;
1.753;Herrajes;
1.858;Herrajes;
2.082;Herrajes;
2.099;Herrajes;
588;Iluminacion;
1.796;Iluminacion;
2.041;Laminado;
329;Madera;
1.952;Madera;
1.419;Madera;Tapacantos
1.544;Madera;Tapacantos
1.290;Madera;
892;Madera;
2.055;Madera;Herrajes
2.095;PAI;
2.025;PAI;
583;PAI;
1.276;PAI;
1.512;PAI;
1.641;Pasacables;
2.056;Perfiles de aluminio;
2.049;Perfiles de aluminio;
39;Pintura;
717;Pintura;
1.578;Pintura;
650;Pintura;
1.114;Pintura;
1.516;Pintura;
1.871;Sillas;
1.720;Sillas;
1.607;Sillas;
1.026;Sillas;
1.180;Sillas;
1.682;Sillas;
1.973;Sillas;
1.360;Sillas;
1.976;Sillones;
2.000;Sillones;
1.870;Sillones;
1.857;Sillones;
1.449;Tapacantos;Cola HOTMEL
1.830;Tapiceria;
1.460;Tapiceria;
1.974;Tapiceria;
1.517;Vidrio;
1.934;Vinilos;
2.073;Vinilos;
1.016;Vinilos;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
